Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Tuscaloosa, AL","35,421","36,396","37,983",353,2.8,4.4,220,
"Twin Falls, ID","36,994","37,897","39,309",332,2.4,3.7,318,
"Tyler, TX","46,218","52,034","55,229",67,12.6,6.1,31,
"Urban Honolulu, HI","54,860","57,049","59,608",35,4.0,4.5,197,
"Utica-Rome, NY","40,418","42,790","44,036",233,5.9,2.9,370,
"Valdosta, GA","33,664","34,613","36,217",371,2.8,4.6,171,
"Vallejo, CA","46,999","48,364","51,664",100,2.9,6.8,13,
"Victoria, TX","41,507","43,469","45,968",197,4.7,5.7,46,
"Vineland-Bridgeton, NJ","37,515","38,630","40,289",313,3.0,4.3,230,
"Virginia Beach-Norfolk-Newport News, VA-NC","46,992","48,485","50,619",111,3.2,4.4,208,
"Visalia, CA","38,198","39,018","40,420",306,2.1,3.6,333,
"Waco, TX","37,897","39,182","40,831",298,3.4,4.2,248,
"Walla Walla, WA","42,464","44,178","46,144",185,4.0,4.5,203,
"Warner Robins, GA","39,342","40,517","41,944",279,3.0,3.5,343,
"Washington-Arlington-Alexandria, DC-VA-MD-WV","67,795","69,298","72,483",13,2.2,4.6,174,
"Waterloo-Cedar Falls, IA","42,227","43,591","46,063",192,3.2,5.7,50,
"Watertown-Fort Drum, NY","43,674","45,476","46,924",168,4.1,3.2,356,
"Wausau-Weston, WI","45,753","47,260","49,373",130,3.3,4.5,200,
"Weirton-Steubenville, WV-OH","36,579","38,472","40,472",305,5.2,5.2,89,
"Wenatchee, WA","45,838","48,045","50,021",119,4.8,4.1,267,
"Wheeling, WV-OH","41,229","45,613","48,881",137,10.6,7.2,10,
"Wichita, KS","46,659","48,818","51,854",97,4.6,6.2,26,
"Wichita Falls, TX","40,194","41,395","43,527",245,3.0,5.2,98,
"Williamsport, PA","39,990","41,587","43,823",239,4.0,5.4,70,
"Wilmington, NC","41,122","41,953","43,311",250,2.0,3.2,353,
"Winchester, VA-WV","44,857","46,303","48,174",148,3.2,4.0,277,
"Winston-Salem, NC","41,559","43,306","44,850",216,4.2,3.6,337,
"Worcester, MA-CT","51,762","53,273","55,801",65,2.9,4.7,146,
"Yakima, WA","40,285","41,868","43,379",249,3.9,3.6,331,
"York-Hanover, PA","45,971","47,835","50,113",117,4.1,4.8,142,
"Youngstown-Warren-Boardman, OH-PA","39,440","40,496","42,443",270,2.7,4.8,139,
"Yuba City, CA","40,729","41,270","42,925",260,1.3,4.0,282,
"Yuma, AZ","33,141","35,049","35,682",374,5.8,1.8,380,
1. Per capita personal income was computed using Census Bureau midyear population estimates. Estimates reflect county population estimates available as of March 2019.,,,,,,,,
"2. The personal income level shown for the United States is derived as the sum of the county estimates. It differs from the estimate of personal income in the national income and product accounts because of differences in coverage, in the methodologies used to prepare the estimates, and in the timing of the availability of source data.",,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,
