Msa,2016_dollars,2017_dollars,2018_dollars,Rank_2018,Percent_change_2017,Percent_change_2018,Percent_rank_2018,
"Bismarck, ND","55,011","54,507","56,564",56,-0.9,3.8,310,
"Blacksburg-Christiansburg, VA","35,515","36,723","38,538",344,3.4,4.9,115,
"Bloomington, IL","46,727","47,247","49,180",131,1.1,4.1,273,
"Bloomington, IN","38,034","40,079","41,947",278,5.4,4.7,163,
"Bloomsburg-Berwick, PA","42,010","43,692","45,527",203,4.0,4.2,249,
"Boise City, ID","42,395","44,062","45,973",196,3.9,4.3,223,
"Boston-Cambridge-Newton, MA-NH","71,510","74,779","78,694",6,4.6,5.2,84,
"Boulder, CO","64,875","69,298","73,394",12,6.8,5.9,38,
"Bowling Green, KY","34,878","35,863","36,740",367,2.8,2.4,377,
"Bremerton-Silverdale-Port Orchard, WA","50,518","52,833","56,244",60,4.6,6.5,20,
"Bridgeport-Stamford-Norwalk, CT","107,221","112,769","120,630",2,5.2,7.0,11,
"Brownsville-Harlingen, TX","27,023","27,427","28,756",383,1.5,4.8,132,
"Brunswick, GA","37,800","39,058","41,092",292,3.3,5.2,88,
"Buffalo-Cheektowaga, NY","46,327","48,879","50,414",115,5.5,3.1,359,
"Burlington, NC","37,317","38,141","39,342",331,2.2,3.1,357,
"Burlington-South Burlington, VT","54,330","55,445","57,575",48,2.1,3.8,302,
"California-Lexington Park, MD","53,482","54,446","56,820",53,1.8,4.4,222,
"Canton-Massillon, OH","41,292","42,937","44,767",218,4.0,4.3,240,
"Cape Coral-Fort Myers, FL","47,574","48,872","51,266",103,2.7,4.9,123,
"Cape Girardeau, MO-IL","40,410","41,882","43,850",238,3.6,4.7,156,
"Carbondale-Marion, IL","37,641","38,782","40,701",301,3.0,4.9,114,
"Carson City, NV","45,617","48,065","50,754",109,5.4,5.6,56,
"Casper, WY","63,999","62,751","69,379",14,-2.0,10.6,3,
"Cedar Rapids, IA","48,848","49,721","52,168",93,1.8,4.9,118,
"Chambersburg-Waynesboro, PA","42,597","44,239","46,403",180,3.9,4.9,124,
"Champaign-Urbana, IL","43,356","43,644","45,975",195,0.7,5.3,73,
"Charleston, WV","39,953","41,322","44,053",232,3.4,6.6,17,
"Charleston-North Charleston, SC","46,439","48,769","50,958",108,5.0,4.5,196,
"Charlotte-Concord-Gastonia, NC-SC","47,766","50,043","52,176",92,4.8,4.3,239,
"Charlottesville, VA","59,243","63,300","66,577",17,6.8,5.2,92,
"Chattanooga, TN-GA","42,833","44,198","45,900",200,3.2,3.9,300,
"Cheyenne, WY","48,345","49,746","52,039",94,2.9,4.6,173,
"Chicago-Naperville-Elgin, IL-IN-WI","56,086","58,014","61,089",30,3.4,5.3,77,
"Chico, CA","42,015","42,653","44,346",222,1.5,4.0,290,
"Cincinnati, OH-KY-IN","49,730","51,729","54,176",75,4.0,4.7,151,
"Clarksville, TN-KY","38,608","39,426","39,991",319,2.1,1.4,382,
"Cleveland, TN","36,665","37,063","38,371",348,1.1,3.5,342,
